all_names,entity_type,notes
ROUND MOUNTAIN WATER COMPANY,water_system,
SPINDRIFT MARINA,water_system,
TWO TWENTY FOUR MOBILE HOME PK,water_system,
CENTRAL HIGH SCHOOL WEST,water_system,
ESPERANZA RD WS,water_system,
CITY OF PARLIER,water_system,
BUTTONWILLOW RACEWAY PARK CIRCUIT,water_system,
DEL ORO TRAVER DISTRICT,water_system,
MONO HOT SPRINGS RESORT,water_system,
SUGAR BARGE MARINA,water_system,
HARRIS RANCH RESTAURANT,water_system,
REVERIE WINERY,water_system,
PINE GROVE MOBILEHOME PARK,water_system,
CUYAMACA OUTDOOR SCHOOL,water_system,
WEST KERN WATER DISTRICT,water_system,
GRATON COMMERCE CENTER,water_system,
EDDY DRIVE,water_system,
CROSSOVER COMMUNITY CHURCH,water_system,
"WESTMORLAND, CITY OF",water_system,
CITY OF LATHROP,water_system,
RIVERS END MARINA,water_system,
PATTERSON TRACT CSD,water_system,
KIEFER LANDFILL [SWS],water_system,
METRO AIR PARK WATER SYSTEM,water_system,
ELM COURT,water_system,
CITY OF LIVE OAK,water_system,
FERRARI-CARANO WINERY,water_system,
YOKOHL MUTUAL WATER CO,water_system,
SCE/CAMP EDISON-SHAVER,water_system,
PARADISE RIDGE WINERY,water_system,
VANDENBERG VILLAGE COMM. SERV. DIST.,water_system,
PLUMAS EUREKA CSD,water_system,
BAR-LEN MWC,water_system,
SUTTER COMMUNITY S.D.,water_system,
AMERICAN LEGION POST #376,water_system,
AWA BUCKHORN PLANT,water_system,
GILL CREEK MUTUAL WATER COMPANY,water_system,
WHISPERING PINES INN,water_system,
GATEWAY,water_system,
GURDJIEFF FOUNDATION,water_system,
CEDARPINES PARK MWC,water_system,
AVILA BEACH COMMUNITY SERVICES DISTRICT,water_system,
MADERA CO SA1-INDIAN LAKES,water_system,
ATHENA TERRACE MUTUAL WATER COMPANY,water_system,
"GLENDORA-CITY, WATER DEPT.",water_system,
THERMAL PARK,water_system,
KINGS CANYON MOBILE HOME PARK,water_system,
J. RICKARDS WINERY,water_system,
U.S. COAST GUARD TRAINING CENTER,water_system,
PINYON CREST HOA,water_system,
VERITE WINERY,water_system,
LIVE OAK ACRES MWC INC.,water_system,
BEAR VALLEY WATER COMPANY,water_system,
ALL OUTDOORS ADVENTURE TRIPS,water_system,
BLUE SPRUCE MOBILE HOME PARK,water_system,
GOLDEN VALLEY CAMP,water_system,
RESTHAVEN MOBILE HOME PARK,water_system,
"CERES, CITY OF",water_system,
LONE TREE MOBILE HOME PARK,water_system,
THE SUMMIT,water_system,
"MOUNTAIN VIEW MOBILE ESTATES, LLC",water_system,
PURPLE ORCHID RESORT SPA,water_system,
SAN DIEGUITO WD,water_system,
BUCKTAIL MUTUAL WATER COMPANY,water_system,
FEATHER RIVER RV & MHP,water_system,
VAUGHN WC INC,water_system,
RIO MANOR MUTUAL WATER CO,water_system,
ANZA MUTUAL WATER COMPANY,water_system,
TERRY SCHOOL,water_system,
DUNROVIN MOBILE HOME VILLAGE,water_system,
SIX ACRES WATER COMPANY,water_system,
PINE RIDGE SCHOOL,water_system,
AWA LA MEL HEIGHTS #3,water_system,
ROD MCLELLAN BOTANICALS WS,water_system,
LA CREMA WINERY,water_system,
MD 24 TEAFORD MEADOW LAKES,water_system,
AVILA VALLEY MUTUAL WATER CO,water_system,
CITY OF LA HABRA,water_system,
CALTRANS-TRINIDAD NB,water_system,
VARIAN RANCH MUTUAL WATER,water_system,
LINDA COUNTY WATER DISTRICT,water_system,
MONTE SERENO MUTUAL BENEFIT WATER,water_system,
TERRA BELLA IRRIGATION DISTRICT - TBT,water_system,
MATSUI NURSERY WS,water_system,
SLO CSA NO. 16 - SHANDON,water_system,
CA STATE PARKS - D.L. BLISS,water_system,
WISHON VILLAGE,water_system,
CSA 62,water_system,
BLUFF POINTE GOLF COURSE AND LEARNING CE,water_system,
TREASURE CREEK WOODS MWC,water_system,
LONE STAR SCHOOL,water_system,
PLUMAS LAKE,water_system,
SUN EMPIRE SCHOOL,water_system,
ELKINS RANCH,water_system,
DEL REY COMMUNITY SERV DIST,water_system,
Golden State Water Company|Golden State Water|GSWC|American States Water Company|AWR,water_iou,subsidiary of American States Water
JAN KLEBE,water_system,
LOS OSOS COMMUNITY SERVICES DISTRICT,water_system,
ZIALENA WINERY,water_system,
Golden State Water Company|Golden State Water|GSWC|American States Water Company|AWR,water_iou,subsidiary of American States Water
MOANING CAVERN,water_system,
JOHNNY QUIK STORE 149,water_system,
LASSEN VNP - SOUTHWEST/CHALET,water_system,
SONOMA COUNTY CSA 41-FITCH MOUNTAIN,water_system,
CALTRANS-COLLIER TUNNEL RS,water_system,
NPS PRNS - LAGUNA SYSTEM,water_system,
HEATHER LAKE ROAD TRACT,water_system,
EAST NILES CSD,water_system,
"MONROVIA-CITY, WATER DEPT.",water_system,
CAL AM WATER COMPANY - HIDDEN HILLS,water_system,
MARYGOLD MWC,water_system,
COUNTRY LIFE MH & RV PARK,water_system,
MAZZOCCO WINERY,water_system,
ARROWBEAR PARK CWD,water_system,
NORTH KAWEAH MUTUAL WATER COMPANY,water_system,
"VINO FARMS, INC. - PRESTON RANCH",water_system,
KNEELAND SCHOOL,water_system,
DAVIS JUSD - FAIRFIELD SCHOOL,water_system,
UC - DAVIS,water_system,
PALO VERDE UNION ELEMENTARY SCHOOL,water_system,
CHANNEL ISLANDS NATIONAL PARK,water_system,
CSP-PFEIFFER BIG SUR,water_system,
TIERRA VERDE MWC,water_system,
CITY OF WHEATLAND,water_system,
PICACHO STATE RESERVATION AREA,water_system,
SOUTH FEATHER W&P - MINERS RANCH,water_system,
CANDLELIGHT VILLAGE MUTUAL WATER CO.,water_system,
JULIAN COMMUNITY SERVICES DISTRICT,water_system,
SWEETWATER SPRINGS CWD - MONTE RIO,water_system,
GUADALUPE WATER DEPARTMENT,water_system,
"OAKENDELL, INC.",water_system,
BEVERLY LODGE,water_system,
DELTA CONSERVATION CAMP,water_system,
SOLEDAD MISSION WS,water_system,
EASTERN SIERRA REGIONAL AIRPORT,water_system,
PINE COVE RV PARK,water_system,
