all_names,entity_type,notes
Lockeford Community Service District GSA|Lockeford Community Service District,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
Los Angeles GSA|Los Angeles,gsa,SAN FERNANDO VALLEY
Lower Tule River Irrigation District GSA|Lower Tule River Irrigation District,gsa,SAN JOAQUIN VALLEY - TULE
Madera Irrigation District GSA|Madera Irrigation District,gsa,SAN JOAQUIN VALLEY - MADERA
Madera Water District GSA|Madera Water District,gsa,SAN JOAQUIN VALLEY - MADERA
Marina Coast Water District GSA|Marina Coast Water District|Marina Coast Water District GSA - 180/400 Foot Aquifer|Marina Coast Water District GSA - Monterey,gsa,SALINAS VALLEY - 180/400 FOOT AQUIFER; SALINAS VALLEY - MONTEREY
McMullin Area GSA|McMullin Area,gsa,SAN JOAQUIN VALLEY - KINGS
Merced Irrigation-Urban GSA|Merced Irrigation-Urban,gsa,SAN JOAQUIN VALLEY - MERCED
Merced Subbasin GSA|Merced Subbasin,gsa,SAN JOAQUIN VALLEY - MERCED
Mid-Kaweah GSA|Mid-Kaweah,gsa,SAN JOAQUIN VALLEY - KAWEAH
Mid-Kings River GSA|Mid-Kings River,gsa,SAN JOAQUIN VALLEY - TULARE LAKE
Mission Springs Water District GSA|Mission Springs Water District|Mission Springs Water District GSA - Indio|Mission Springs Water District GSA - Mission Creek,gsa,COACHELLA VALLEY - INDIO; COACHELLA VALLEY - MISSION CREEK
Mono County Tri-Valley Groundwater Management District GSA|Mono County Tri-Valley Groundwater Management District|Mono County Tri-Valley Groundwater Management District GSA - Fis|Mono County Tri-Valley Groundwater Management District GSA - Owe,gsa,OWENS VALLEY - FISH SLOUGH; OWENS VALLEY - OWENS VALLEY
Montecito Groundwater Basin GSA|Montecito Groundwater Basin,gsa,MONTECITO
Monterey Peninsula Water Management District GSA|Monterey Peninsula Water Management District,gsa,CARMEL VALLEY
Mound Basin GSA|Mound Basin,gsa,SANTA CLARA RIVER VALLEY - MOUND
New Stone Water District GSA|New Stone Water District,gsa,SAN JOAQUIN VALLEY - MADERA
North Fork Kings GSA|North Fork Kings,gsa,SAN JOAQUIN VALLEY - KINGS
North Kern Water Storage District GSA|North Kern Water Storage District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
North Kings GSA|North Kings,gsa,SAN JOAQUIN VALLEY - KINGS
