State,Agency,Abbr
federal,Office_of_National_Drug_Control_Policy,ONDCP
federal,Office_of_Natural_Resources_Revenue,ONRR
federal,Office_of_Science_and_Technology_Policy,OSTP
federal,Office_of_Scientific_and_Technical_Information,OSTI
federal,Office_of_Special_Education_and_Rehabilitative_Services,OSERS
federal,Office_of_Surface_Mining_Reclamation_and_Enforcement,OSMRE
federal,Office_of_the_Director_of_National_Intelligence,ODNI
federal,Office_of_the_Director_of_National_Intelligence,Office_of_Director_of_National_Intelligence
federal,Office_on_Violence_Against_Women,OVW
federal,Congressional_Office_for_International_Leadership,Open_World_Leadership_Center
federal,Patent_and_Trademark_Office,USPTO
federal,Pension_Benefit_Guaranty_Corporation,PBGC
federal,Pentagon_Force_Protection_Agency,PFPA
federal,Pipeline_and_Hazardous_Materials_Safety_Administration,PHMSA
federal,Postal_Service,USPS
federal,President's_Council_on_Fitness_Sports_and_Nutrition,PCFSN
federal,Commission_on_Presidential_Scholars,Presidential_Scholars_Commission
federal,Defense_POW/MIA_Accounting_Agency,Prisoner_of_War_and_Missing_in_Action_Accounting_Agency
federal,Defense_POW/MIA_Accounting_Agency,DPAA
federal,Privacy_and_Civil_Liberties_Oversight_Board,PCLOB
federal,Saint_Lawrence_Seaway_Development_Corporation,SLSDC
federal,Saint_Lawrence_Seaway_Development_Corporation,Great_Lakes_Saint_Lawrence_Seaway_Development_Corporation
federal,Saint_Lawrence_Seaway_Development_Corporation,Great_Lakes_St._Lawrence_Seaway_Development_Corporation
federal,Saint_Lawrence_Seaway_Development_Corporation,St._Lawrence_Seaway_Development_Corporation
federal,Office_of_Science,Science_Office
federal,Securities_and_Exchange_Commission,SEC
federal,Substance_Abuse_and_Mental_Health_Services_Administration,SAMHSA
federal,Supreme_Court_of_the_United_States,SCOTUS
federal,Supreme_Court_of_the_United_States,Supreme_Court
federal,Susquehanna_River_Basin_Commission,SRBC
federal,Tennessee_Valley_Authority,TVA
federal,Transportation_Security_Administration,TSA
federal,Department_of_the_Treasury,Treasury_Department
federal,Department_of_the_Treasury,USDT
federal,Computer_Emergency_Readiness_Team,US___CERT
federal,Army_Combined_Arms_Center,USACAC
federal,Army_Environmental_Command,USAEC
federal,Army_Public_Health_Center,USAPHC
federal,Army_Alaska,USARAK
federal,Army_Reserve_Command,USARC
federal,Agricultural_Marketing_Service,USDA___Agricultural_Marketing_Service
federal,Agricultural_Marketing_Service,USDA_Agricultural_Marketing_Service
federal,Agricultural_Marketing_Service,USDA_AMS
federal,Agricultural_Marketing_Service,USDA___AMS
federal,Agricultural_Marketing_Service,USDAAMS
federal,Agricultural_Research_Service,USDA___Agricultural_Research_Service
federal,Agricultural_Research_Service,USDA_Agricultural_Research_Service
federal,Agricultural_Research_Service,USDA_ARS
federal,Agricultural_Research_Service,USDA___ARS
federal,Economic_Research_Service,USDA___Economic_Research_Service
federal,Economic_Research_Service,USDA_Economic_Research_Service
federal,Economic_Research_Service,USDA_ERS
federal,Economic_Research_Service,USDA___ERS
federal,Foreign_Agricultural_Service,USDA___Foreign_Agricultural_Service
federal,Foreign_Agricultural_Service,USDA_Foreign_Agricultural_Service
federal,Foreign_Agricultural_Service,USDA_FAS
federal,Foreign_Agricultural_Service,USDA___FAS
federal,Foreign_Agricultural_Service,USDAFAS
federal,USDA_Office_of_the_Chief_Economist,USDA___Office_of_the_Chief_Economist
federal,USDA_Office_of_the_Chief_Economist,USDA_OCE
federal,USDA_Office_of_the_Chief_Economist,USDA___OCE
federal,USDA_Office_of_the_Chief_Economist,USDAOCE
federal,USDA_Wildlife_Services,USDA_WS
federal,USDA_Wildlife_Services,USDA___WS
federal,Voice_of_America,VoA
federal,Voice_of_America,VOA
federal,Wage_and_Hour_Division,WHD
California,Sustainable_Groundwater_Management_Act,SGMA
California,Data_Exchange_Center,CDEC
California,Irrigation_Management_Information_System,CIMIS
California,Central_Valley_Regional_Water_Quality_Control_Board,CVRWQCB
California,Division_of_Drinking_Water,DDW
local,Groundwater_Sustainability_Plan,GSP
local,San_Joaquin_River_Restoration_Program,SJRRP
federal,National_Cooperative_Soil_Survey_Geographic_Database,SSURGO
federal,National_Cooperative_Soil_Survey_Geographic_Database,Soil_Survey_Geographic_Database
local,Integrated_Regional_Water_Management_Plan,IRWMP
local,Integrated_Regional_Water_Management,IRWM
,Precipitation___Elevation_Regressions_on_Independent_Slopes_Model,PRISM
California,Geologic_Energy_Management_Division,CalGEM
California,Statewide_Groundwater_Elevation_Monitoring,CASGEM
,Groundwater_Dependent_Ecosystem,GDE
local,Groundwater_Sustainability_Agency,GSA
,Groundwater_Management_Plan,GWMP
California,Irrigated_Lands_Regulatory_Program,ILRP
local,Regional_Water_Quality_Control_Board,RWQCB
local,Central_Coast_Regional_Water_Quality_Control_Board,CCRWQCB
local,North_Coast_Regional_Water_Quality_Control_Board,NCRWQCB
California,Environmental_Data_Exchange_Network,CEDEN
federal,National_Centers_for_Environmental_Information,NCEI
federal,National_Centers_for_Environmental_Information,NOAA_NCEI
federal,National_Centers_for_Environmental_Information,National_Climatic_Data_Center
federal,National_Centers_for_Environmental_Information,NCDC
federal,Safe_Drinking_Water_Information_System,SDWIS
local,Association_of_Monterey_Bay_Area_Governments,AMBAG
local,Central_Coast_Groundwater_Coalition,CCGC
California,Environmental_Quality_Act,CEQA
federal,Comprehensive_Environmental_Response_Compensation_and_Liability_Act,CERCLA
federal,Public_Land_Survey_System,PLSS
California,Department_of_Conservation_Division_of_Oil_Gas_and_Geothermal_Resources,DOGGR
,Natural_Communities_Commonly_Associated_with_Groundwater,NCCAG
federal,National_Environmental_Policy_Act,NEPA
federal,National_Pollutant_Discharge_Elimination_System,NPDES
federal,National_Water_Information_System,NWIS
federal,National_Water_Quality_Monitoring_Council,NWQMC
California,University_of_California_Water_Security_and_Sustainability_Research_Initiative,UCWSSRI
California,University_of_California_Water_Security_and_Sustainability_Research_Initiative,UC_Water_Security_and_Sustainability_Research_Initiative
,Disadvantaged_Community,DAC
,Disadvantaged_Communities,DACs
federal,Environmental_Quality_Incentives_Program,EQIP
,Interferometric_Synthetic_Aperture_Radar,InSAR
,Maximum_Contaminant_Level,MCL
local,Northern_California_Water_Association,NCWA
local,Northeastern_California_Water_Association,NECWA
local,Pacific_Gas_and_Electric,PG&E
California,University_of_California_Cooperative_Extension,UCCE
California,Groundwater_Ambient_Monitoring_and_Assessment,GAMA
federal,Climate_Reference_Network,USCRN
federal,AbilityOne_Commission,
federal,Access_Board,
California,Achieving_a_Better_Life_Experience,
California,Acupuncture_Board,
federal,Administration_for_Native_Americans,
federal,African_Development_Foundation,
federal,Agriculture_Library,
federal,Air_Force_Reserve,
federal,Air_Force_Reserve_Command,
federal,Alhurra_TV,
federal,AmeriCorps,
federal,AmeriCorps_Seniors,
federal,American_Battle_Monuments_Commission,
federal,Amtrak,
federal,Antitrust_Division,
federal,Appalachian_Regional_Commission,
California,Apprenticeship_Council,
California,Arbitration_Certification_Program,
federal,Architect_of_the_Capitol,
California,Architects_Board,
federal,Arctic_Research_Commission,
federal,Armed_Forces_Retirement_Home,
federal,Arms_Control_and_International_Security,
federal,Army,
California,Arts_Council,
California,Baldwin_Hills_Conservancy,
federal,Bankruptcy_Courts,
