_id,ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
82,118,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/20/2014,Tuolumne,SONORA,37.954405,-120.303089,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
83,119,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/23/2014,Tuolumne,JAMESTOWN,37.958759,-120.425616,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
84,120,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,JAMESTOWN,37.961405,-120.4121788,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
85,121,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/30/2014,Tuolumne,TUOLUMNE,37.950001,-120.230123,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
86,122,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/12/2014,Tuolumne,SOULSBYVILLE ,37.967973,-120.270204,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
87,123,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,TUOLUMNE,37.978135,-120.244343,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
88,124,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,SONORA,37.9784857,-120.3132728,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
89,125,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/11/2014,Tuolumne,SONORA,37.9921918,-120.282458,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
90,126,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/11/2014,Tuolumne,SONORA,37.99480399999999,-120.475817,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
91,127,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/14/2014,Tuolumne,SONORA,37.998075,-120.472738,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
