gsp_doc_id,gsp_id,canonical_gsp_id,version,plan_section,submitted_date,from_gsp_id,gsa_ids,gsa_names,basin,out_basename,doc_rank
10268,0097,97,1,resubmitted,07/16/2024,,"258,256,280,236",Tulelake Irrigation District GSA;County of Siskiyou GSA;City of Tulelake GSA;County of Modoc GSA - Tulelake,1-002.01 TULELAKE,gsp_doc_id_10268.pdf,2
6291,0098,98,1,original,01/28/2022,,"120,112,128,173,117,195,417,467,415,416,251,122,138",Western Canal Water District GSA;Richvale Irrigation District GSA;City of Gridley GSA;City of Biggs GSA;Biggs-West Gridley Water District GSA;Reclamation District No. 2106 GSA;Butte Water District GSA - Butte;Colusa Groundwater Authority GSA - Butte;County of Glenn GSA - Butte;Reclamation District No. 1004 GSA - Butte 1;County of Butte GSA - Butte 2;County of Butte GSA - Butte 1;Reclamation District No. 1004 GSA - Butte 2,5-021.70 BUTTE,gsp_doc_id_6291.pdf,1
6455,0099,99,1,original,01/28/2022,,406,Wyandotte Creek GSA,5-021.69 WYANDOTTE CREEK,gsp_doc_id_6455.pdf,1
6197,0100,100,1,original,01/24/2022,,"118,233,209,247,454",Sacramento Groundwater Authority GSA;South Sutter Water District GSA;West Placer GSA;Reclamation District No. 1001 GSA;County of Sutter GSA - North American,5-021.64 NORTH AMERICAN,gsp_doc_id_6197.pdf,1
7411,0101,101,1,original,01/29/2022,,263,Sonoma Valley GSA,2-002.02 SONOMA VALLEY,gsp_doc_id_7411.pdf,1
5091,0103,103,1,original,01/26/2022,,403,Owens Valley Groundwater Authority GSA - Owens Valley,6-012.01 OWENS VALLEY,gsp_doc_id_5091.pdf,1
7680,0104,104,1,original,01/27/2022,,349,Yucaipa Basin GSA (Exclusive),8-002.07 YUCAIPA,gsp_doc_id_7680.pdf,1
5099,0105,105,1,original,01/12/2022,,"89,345",San Benito County Water District GSA;Santa Clara Valley Water District GSA - North San Benito,3-003.05 NORTH SAN BENITO,gsp_doc_id_5099.pdf,1
5232,0106,106,1,original,01/27/2022,,"155,97,182,193,312,160,496",Omochumne-Hartnell Water District GSA - Cosumnes;Galt Irrigation District GSA;Clay Water District GSA;Amador County Groundwater Management Authority GSA;City of Galt GSA;Sloughhouse Resource Conservation District GSA - Cosumnes;Sacramento County GSA - Cosumnes,5-022.16 COSUMNES,gsp_doc_id_5232.pdf,1
7762,0110,110,1,original,01/28/2022,,"225,238",West Turlock Subbasin GSA;East Turlock Subbasin GSA,5-022.03 TURLOCK,gsp_doc_id_7762.pdf,1
10217,0110,110,1,resubmitted,07/12/2024,,"225,238",West Turlock Subbasin GSA;East Turlock Subbasin GSA,5-022.03 TURLOCK,gsp_doc_id_10217.pdf,2
6252,0111,111,1,original,01/27/2022,,"295,366,387,378,376,377,364,373,156,147",County of Sacramento GSA - South American;Reclamation District No. 551 GSA;Franklin Drainage District GSA;Reclamation District No. 369 GSA;Reclamation District No. 744 GSA;Reclamation District No. 813 GSA;Reclamation District No. 2110 GSA;Reclamation District No. 1002 GSA;Omochumne-Hartnell Water District GSA - South American;Sacramento Central Groundwater Authority GSA - 1,5-021.65 SOUTH AMERICAN,gsp_doc_id_6252.pdf,1
