gsp_id,gsa,variable,value
0150,wheeler_ridge_maricopa_groundwater_sustainability_agency,ramboll,NA
0155,montecito_groundwater_basin,ramboll,NA
0155,montecito_groundwater_basin_groundwater_sustainability_agency,ramboll,NA
0156,arroyo_santa_rosa_basin_groundwater_sustainability_agency,ramboll,NA
0156,arroyo_santa_rosa_groundwater_sustainability_agency,ramboll,NA
0156,fox_canyon_groundwater_management_agency,ramboll,NA
0156,groundwater_sustainability_agency,ramboll,NA
0007,aliso_water_district_groundwater_sustainability_agency,dudek,NA
0008,groundwater_sustainability_agency,dudek,NA
0008,westlands_water_district_groundwater_sustainability_agency,dudek,NA
0009,groundwater_sustainability_agency,dudek,NA
0009,merced_irrigation_urban_groundwater_sustainability_agency,dudek,NA
0009,merced_subbasin_groundwater_sustainability_agency,dudek,NA
0009,miugsa,dudek,NA
0009,turner_island_water_district_groundwater_sustainability_agency_merced,dudek,NA
0011,mga,dudek,NA
0011,santa_cruz_mid_county_groundwater_agency_gsa,dudek,NA
0012,chowchilla_water_district_groundwater_sustainability_agency,dudek,NA
0012,groundwater_sustainability_agency,dudek,NA
0012,triangle_t_water_district_groundwater_sustainability_agency,dudek,NA
0013,dm_ii_groundwater_sustainability_agency,dudek,NA
0013,groundwater_sustainability_agency,dudek,NA
0013,oro_loma_water_district_groundwater_sustainability_agency,dudek,NA
0014,farmers_water_district_groundwater_sustainability_agency,dudek,NA
0015,city_of_dos_palos_groundwater_sustainability_agency,dudek,NA
0015,city_of_firebaugh_groundwater_sustainability_agency,dudek,NA
0015,city_of_gustine_groundwater_sustainability_agency,dudek,NA
0015,city_of_los_banos_groundwater_sustainability_agency,dudek,NA
0015,city_of_mendota_groundwater_sustainability_agency,dudek,NA
0015,city_of_newman_groundwater_sustainability_agency,dudek,NA
0015,county_of_madera_groundwater_sustainability_agency_delta_mendota,dudek,NA
0015,county_of_merced_groundwater_sustainability_agency_delta_mendota,dudek,NA
0015,groundwater_sustainability_agency,dudek,NA
0015,san_joaquin_river_exchange_contractors_groundwater_sustainability_agency,dudek,NA
0015,turner_island_water_district_groundwater_sustainability_agency_delta_mendota,dudek,NA
0016,fox_canyon_groundwater_management_agency,dudek,3
0016,fox_canyon_groundwater_management_agency_gsa_oxnard,dudek,0
0017,fox_canyon_groundwater_management_agency,dudek,2
0017,fox_canyon_groundwater_management_agency_gsa_pleasant_valley,dudek,0
0018,fox_canyon_groundwater_management_agency,dudek,1
0018,fox_canyon_groundwater_management_agency_gsa_las_posas_valley,dudek,0
0019,mound_basin_groundwater_sustainability_agency,dudek,NA
0020,county_of_fresno_groundwater_sustainability_agency_delta_mendota_management_area_a,dudek,NA
0020,county_of_fresno_groundwater_sustainability_agency_delta_mendota_management_area_b,dudek,NA
0020,groundwater_sustainability_agency,dudek,NA
0021,city_of_madera_groundwater_sustainability_agency,dudek,NA
0021,county_of_madera_groundwater_sustainability_agency_madera,dudek,NA
0021,groundwater_sustainability_agency,dudek,NA
0021,madera_irrigation_district_groundwater_sustainability_agency,dudek,NA
0021,madera_water_district_groundwater_sustainability_agency,dudek,NA
0022,central_kings_groundwater_sustainability_agency,dudek,NA
0023,kings_river_east_groundwater_sustainability_agency,dudek,NA
0024,north_kings_groundwater_sustainability_agency,dudek,NA
0025,north_fork_kings_groundwater_sustainability_agency,dudek,NA
0026,south_kings_groundwater_sustainability_agency,dudek,NA
0028,mcmullin_area_groundwater_sustainability_agency,dudek,NA
0029,county_of_monterey_groundwater_sustainability_agency,dudek,NA
0029,groundwater_sustainability_agency,dudek,NA
0029,salinas_valley_basin_groundwater_sustainability_agency,dudek,NA
0030,greater_kaweah_groundwater_sustainability_agency,dudek,NA
0031,james_groundwater_sustainability_agency,dudek,NA
0032,cuyama_basin_groundwater_sustainability_agency,dudek,NA
0035,city_of_paso_robles_groundwater_sustainability_agency,dudek,NA
0035,groundwater_sustainability_agency,dudek,NA
0035,san_miguel_community_services_district_groundwater_sustainability_agency,dudek,NA
0035,shandon_san_juan_groundwater_sustainability_agency,dudek,NA
0036,groundwater_sustainability_agency,dudek,NA
0036,kern_groundwater_authority,dudek,NA
0036,kern_groundwater_authority_groundwater_sustainability_agency,dudek,NA
0037,henry_miller_water_district_gsa,dudek,NA
0038,county_of_merced_groundwater_sustainability_agency_delta_mendota,dudek,NA
0038,grasslands_groundwater_sustainability_agency,dudek,NA
0038,groundwater_sustainability_agency,dudek,NA
0042,el_rico_groundwater_sustainability_agency,dudek,NA
0042,groundwater_sustainability_agency,dudek,NA
0042,mid_kings_river_groundwater_sustainability_agency,dudek,NA
0042,sfkgsa,dudek,NA
0042,south_fork_kings_groundwater_sustainability_agency,dudek,NA
0042,southwest_kings_groundwater_sustainability_agency,dudek,NA
0042,tri_county_water_authority_groundwater_sustainability_agency_tulare_lake,dudek,NA
0043,eastern_tule_groundwater_sustainability_agency,dudek,NA
0044,olcese_water_district_groundwater_sustainability_agency,dudek,NA
0045,root_creek_water_district_groundwater_sustainability_agency,dudek,NA
0047,central_delta_water_agency_groundwater_sustainability_agency,dudek,NA
0047,central_san_joaquin_water_conservation_district_groundwater_sustainability_agency,dudek,NA
0047,city_of_lodi_groundwater_sustainability_agency,dudek,NA
0047,city_of_manteca_groundwater_sustainability_agency,dudek,NA
0047,city_of_stockton_groundwater_sustainability_agency,dudek,NA
0047,county_of_san_joaquin_groundwater_sustainability_agency_eastern_san_joaquin_1,dudek,NA
0047,county_of_san_joaquin_groundwater_sustainability_agency_eastern_san_joaquin_2,dudek,NA
0047,eastside_san_joaquin_groundwater_sustainability_agency,dudek,NA
0047,groundwater_sustainability_agency,dudek,NA
0047,linden_county_water_district_groundwater_sustainability_agency,dudek,NA
0047,lockeford_community_service_district_groundwater_sustainability_agency,dudek,NA
0047,north_san_joaquin_water_conservation_district_groundwater_sustainability_agency,dudek,NA
0047,oakdale_irrigation_district_groundwater_sustainability_agency,dudek,NA
0047,south_delta_water_agency_groundwater_sustainability_agency,dudek,NA
0047,south_san_joaquin_groundwater_sustainability_agency,dudek,NA
0047,stockton_east_water_district_groundwater_sustainability_agency,dudek,NA
0047,woodbridge_irrigation_district_groundwater_sustainability_agency,dudek,NA
0048,alpaugh_groundwater_sustainability_agency,dudek,NA
0049,new_stone_water_district_groundwater_sustainability_agency,dudek,NA
0050,mid_kaweah_groundwater_sustainability_agency,dudek,NA
0050,mkgsa,dudek,NA
0051,buena_vista_water_storage_district_gsa,dudek,NA
0052,groundwater_sustainability_agency,dudek,NA
0052,yuba_water_agency,dudek,NA
0054,groundwater_sustainability_agency,dudek,NA
0054,kern_river_groundwater_sustainability_agency,dudek,NA
0056,lower_tule_river_irrigation_district_groundwater_sustainability_agency,dudek,NA
0056,ltridgsa,dudek,NA
0057,tri_county_water_authority_groundwater_sustainability_agency_tule,dudek,NA
0058,east_kaweah_groundwater_sustainability_agency,dudek,NA
0058,groundwater_sustainability_agency,dudek,NA
0059,indian_wells_valley_groundwater_authority,dudek,NA
0059,indian_wells_valley_groundwater_authority_groundwater_sustainability_agency,dudek,NA
0061,gravelly_ford_water_district_groundwater_sustainability_agency,dudek,NA
0063,delano_earlimart_irrigation_district_groundwater_sustainability_agency,dudek,NA
0065,pixley_irrigation_district_groundwater_sustainability_agency,dudek,NA
0067,castac_basin_gsa,dudek,NA
0070,county_of_humboldt_groundwater_sustainability_agency,dudek,NA
0071,west_san_jacinto_groundwater_sustainability_agency,dudek,NA
0072,fillmore_and_piru_basins_groundwater_sustainability_agency_piru,dudek,NA
0072,fpbgsa,dudek,NA
0073,fillmore_and_piru_basins_groundwater_sustainability_agency_fillmore,dudek,NA
0073,fpbgsa,dudek,NA
0074,santa_margarita_groundwater_agency,dudek,NA
0074,santa_margarita_groundwater_agency_gsa,dudek,NA
0075,san_pasqual_valley_groundwater_sustainability_agency,dudek,NA
0075,san_pasqual_valley_gsa,dudek,NA
0076,pauma_valley_groundwater_sustainability_agency,dudek,NA
0076,pvgsa,dudek,NA
0077,upper_ventura_river_groundwater_agency,dudek,NA
0077,upper_ventura_river_groundwater_agency_gsa,dudek,NA
0078,santa_ynez_river_valley_basin_western_management_area_groundwater_sustainability_agency,dudek,NA
0079,santa_ynez_river_valley_basin_central_management_area_groundwater_sustainability_agency,dudek,NA
0080,santa_ynez_river_valley_basin_eastern_management_area_groundwater_sustainability_agency,dudek,NA
0081,temescal_subbasin_groundwater_sustainability_agency,dudek,NA
0082,enterprise_anderson_groundwater_sustainability_agency_enterprise,dudek,NA
0083,enterprise_anderson_groundwater_sustainability_agency_anderson,dudek,NA
0084,ukiah_valley_basin_groundwater_sustainability_agency,dudek,NA
0084,ukiah_valley_basin_gsa,dudek,NA
0085,county_of_tuolumne_groundwater_sustainability_agency,dudek,NA
0085,groundwater_sustainability_agency,dudek,NA
0085,stanislaus_and_tuolumne_rivers_groundwater_basin_association,dudek,NA
0085,stanislaus_and_tuolumne_rivers_groundwater_basin_association_groundwater_sustainability_agency,dudek,NA
0086,groundwater_sustainability_agency,dudek,NA
0086,rock_creek_reclamation_district_groundwater_sustainability_agency,dudek,NA
0086,vina_groundwater_sustainability_agency,dudek,NA
0087,san_antonio_basin_groundwater_sustainability_agency,dudek,NA
0088,siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_butte_valley,dudek,NA
0090,siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_shasta,dudek,NA
0091,city_of_hayward_groundwater_sustainability_agency,dudek,NA
0091,east_bay_municipal_utility_district_groundwater_sustainability_agency,dudek,NA
0091,groundwater_sustainability_agency,dudek,NA
0092,cga,dudek,NA
0092,colusa_groundwater_authority_groundwater_sustainability_agency_colusa,dudek,NA
0092,glenn_groundwater_authority,dudek,NA
0092,glenn_groundwater_authority_groundwater_sustainability_agency,dudek,NA
0092,groundwater_sustainability_agency,dudek,NA
0093,bedford_coldwater_subbasin_groundwater_sustainability_agency,dudek,NA
0094,csgsa,dudek,NA
0094,groundwater_sustainability_agency,dudek,NA
0094,tehama_county_flood_control_and_water_conservation_district,dudek,NA
0095,county_of_lassen_groundwater_sustainability_agency,dudek,NA
0095,county_of_modoc_groundwater_sustainability_agency_big_valley,dudek,NA
0095,groundwater_sustainability_agency,dudek,NA
0096,yolo_subbasin_groundwater_sustainability_agency,dudek,NA
