name,num_appearances_sum,num_appearances_mean,num_types,entity_type
irrigation_management_information_system,184,6,1,State_Gov
kern_delta_water_district,184,37,1,District
modesto_subbasin,184,92,1,Basin
scotts_valley_water_district,184,184,1,District
tracy_subbasin,184,46,1,Basin
scv_water,183,183,1,NA
tule_river_association,183,30,1,Group
dbcp,182,12,1,NA
grassland_water_district,182,91,1,District
ccbl,181,60,1,NA
davis,181,7,1,City
glenn_county,181,26,1,County
gw,181,9,1,NA
bakersfield,180,12,1,City
central_coast_regional_water_quality_control_board,180,16,1,Local_Gov
buena_vista_water_storage_district,179,36,1,District
las_posas,179,60,1,NA
measurable_objectives,178,12,1,NA
cgps,177,9,1,NA
hollister,176,88,1,City
sonoma_water,176,35,1,NA
stanislaus_county,176,20,1,County
fish_slough,175,88,1,Natural_Feature
sustainable_groundwater_management_act_projects,174,35,1,Water_Project
basemap,173,29,1,NA
modeling_team,173,58,1,Technical
department_of_water_resources_bulletin,172,4,1,NA
passive_diffusion_bag,172,172,1,NA
visalia,172,22,1,City
asr,170,14,1,NA
barka_slough,170,170,1,Natural_Feature
bcgsa,170,170,1,Other_GSA
city_of_modesto,170,34,1,City
westside_subbasin,170,19,1,Basin
basin,169,4,1,Basin
cuyama_basin_groundwater_sustainability_agency,169,169,1,Local_GSA
east_turlock_subbasin_groundwater_sustainability_agency,169,169,1,Local_GSA
environmental_protection_agency,169,42,1,Group
groundwater_sustainability_agency_party,169,24,1,NA
turlock,169,28,1,City
arvin_edison_water_storage_district,168,84,1,District
indian_wells_valley,168,168,1,Geographic_Unit
kdsa,168,13,1,NA
kings_county,168,12,1,County
rmp,168,17,1,NA
glenn_groundwater_authority,167,84,2,Local_GSA
kern,167,14,1,County
yolo_subbasin,167,42,1,Basin
gis,166,6,1,NA
mendota_subbasin,166,18,1,Basin
basin_setting,165,6,1,Geographic_Unit
ec,165,11,1,NA
fox_canyon_groundwater_management_agency_board,164,55,1,Group
san_joaquin_river_exchange_contractors,164,41,1,NA
army,163,54,1,Federal_Gov
city_of_ventura,163,27,1,City
groundwater_sustainability_plan_advisory_committee,162,40,1,Group
inter_agency,162,23,1,Group
joint_powers_authority,162,5,1,Group
sierra_valley,162,162,1,Geographic_Unit
deer_creek_and_tule_river_authority,161,80,1,Group
mullin_area_groundwater_sustainability_agency,160,80,1,Other_GSA
north_kings,160,27,1,NA
congress_us_senate,159,3,1,Federal_Gov
forebay_subbasin,159,26,1,Basin
jpa,159,8,1,NA
kings_river_water_association,159,20,1,Group
yuba_subbasins,159,80,1,Basin
anderson_subbasins,158,79,1,Basin
gravelly_ford_water_district,158,53,1,District
kings,158,12,1,County
salinas,158,20,1,City
l,157,39,1,NA
san_joaquin_river_restoration_settlement,157,52,1,NA
santa_monica_basin_groundwater_sustainability_agency,157,157,1,Local_GSA
technical_memorandum,157,7,1,Technical
west_san_jacinto_groundwater_sustainability_agency,157,157,1,Local_GSA
santa_ana_river,156,26,1,Natural_Feature
ccr,155,12,1,NA
yuba_groundwater_model,155,155,1,Technical
santa_barbara_county,154,26,1,County
west_turlock_subbasin_groundwater_sustainability_agency,154,154,1,Local_GSA
cottonwood_creek,153,15,1,Natural_Feature
san_joaquin_county,153,26,1,County
chowchilla_bypass,152,19,1,NA
gravelly_ford_water_district_groundwater_sustainability_agency,152,76,2,Other_GSA
navy,152,30,1,Federal_Gov
stanislaus,152,17,1,County
court,151,50,1,NA
grassland_groundwater_sustainability_agency,151,151,1,Other_GSA
westlands_water_district,150,150,1,District
camrosa,149,25,1,NA
consolidated_irrigation_district,149,37,1,District
montecito_water_district,149,149,1,District
sjfm2014,149,149,1,NA
inmp,148,21,1,NA
olcese_water_district_groundwater_sustainability_agency,148,148,1,Local_GSA
tcwd,148,49,1,NA
county_of_ventura,147,16,1,County
eastside_subbasin,147,49,1,Basin
national_marine_fisheries_service,146,6,1,Federal_Gov
santa_clarita,146,49,1,City
santa_margarita,146,24,1,City
swi,146,36,1,NA
sonoma_county,145,29,1,County
bowman_subbasin,144,24,1,Basin
fox_canyon_groundwater_management_agency_gsa_pleasant_valley,144,144,1,Local_GSA
national_oceanic_and_atmospheric_administration,144,6,1,Federal_Gov
consensus_building_institute,143,10,1,NA
st_helena,143,143,1,NA
arroyo_santa_rosa_valley_groundwater_basin,142,142,1,Basin
big_valley_advisory_committee,142,142,1,Group
santa_ynez_river_alluvium,142,47,1,Natural_Feature
butte,141,14,1,County
management_areas,141,9,1,Geographic_Unit
spv_groundwater_sustainability_plan_model,141,141,1,Technical
wyandotte_creek_groundwater_sustainability_agency,141,141,1,Local_GSA
deer_creek,140,16,1,Natural_Feature
groundwater_ambient_monitoring_and_assessment,140,3,1,State_Gov
orland_unit_water_users_association,140,70,1,Group
paso_robles_formation_aquifer,140,47,1,Natural_Feature
slough,140,47,1,Natural_Feature
county_of_humboldt_groundwater_sustainability_agency,139,139,1,Local_GSA
legal_authority,139,4,1,Group
santa_rosa,139,17,1,City
coc,138,11,1,NA
elsinore_valley_groundwater_sustainability_agency,138,138,1,Local_GSA
inyo_county,138,34,1,County
santa_margarita_formation,138,12,1,Natural_Feature
bmp,137,8,1,NA
recharge,137,5,1,NA
solano_irrigation_district,137,137,1,District
stillwater_sciences,137,20,1,NA
city_of_vacaville,136,136,1,City
angiola_water_district,135,135,1,District
yolo_subbasin_groundwater_sustainability_agency,135,135,1,Local_GSA
appointing_authority,134,22,1,Group
electrical_conductivity,134,15,1,NA
mann,134,19,1,NA
monitoring_entity,134,15,1,Technical
san_leandro,134,134,1,City
water_budget_zone,134,134,1,Geographic_Unit
regional_board,133,8,1,Group
alta_irrigation_district,132,22,1,District
enterprise_anderson_groundwater_sustainability_agency_enterprise,132,132,1,Local_GSA
groundwater_sustainability_agency_boards,132,7,1,Group
measurable_objective,132,16,1,NA
p_ma,132,66,1,NA
sierra_valley_groundwater_management_district,132,132,1,Local_GSA
action,131,19,1,NA
tce,131,12,1,NA
tuscan_formation,131,12,1,Natural_Feature
pauma_valley_groundwater_sustainability_agency,130,130,1,Local_GSA
todd_groundwater,130,9,1,NA
arvin_edison_management_area,129,129,1,Geographic_Unit
chowchilla,129,22,1,City
city_of_napa,129,129,1,City
department_of_toxic_substances_control,129,6,1,State_Gov
dudek,128,14,1,NA
enterprise_anderson_groundwater_sustainability_agency_anderson,128,128,1,Local_GSA
stanislaus_and_tuolumne_rivers_groundwater_basin_association_groundwater_sustainability_agency,128,128,1,Local_GSA
ukiah_valley_integrated_hydrological_model,128,128,1,Technical
yolo_county,128,32,1,County
board_of_supervisors,127,4,1,Group
fillmore_and_piru_basins_groundwater_sustainability_agency_piru,127,127,1,Local_GSA
henry_miller_water_district_gsa,127,127,1,Local_GSA
mehrten_formation,127,13,1,Natural_Feature
scwd,127,127,1,NA
sierra_valley_subbasin,127,127,1,Basin
ventura_county_watershed_protection_district,127,14,1,District
fillmore_and_piru_basins_groundwater_sustainability_agency_fillmore,126,126,1,Local_GSA
fresno_irrigation_district,126,63,1,District
san_joaquin_river_exchange_contractors_groundwater_sustainability_agency,125,62,2,Local_GSA
wheeler_ridge_maricopa_water_storage_district,125,125,1,District
wqo,125,14,1,NA
butte_basin_groundwater_model,124,41,1,Technical
fox_canyon_groundwater_management_agency_gsa_oxnard,124,124,1,Local_GSA
natural_communities_commonly_associated_with_groundwater_dataset,124,5,1,Technical
san_pedro_formation,124,18,1,Natural_Feature
best_management_practice,123,6,1,NA
city,123,5,1,NA
continuous_global_positioning_system,123,11,1,NA
af_water_year,122,61,1,NA
county_of_tulare,122,15,1,County
east_contra_costa_subbasin,122,61,1,Basin
sustainability_indicators,122,12,1,NA
upper_san_pedro,122,122,1,NA
wheeler_ridge_maricopa,122,41,1,NA
yucaipa_basin_groundwater_sustainability_agency,122,122,1,Local_GSA
central_valley_hydrologic_model,121,13,1,Technical
corning_subbasin,121,24,1,Basin
corral_de_tierra_area,121,121,1,Geographic_Unit
mendota,121,13,1,City
new_stone_water_district,121,40,1,District
variable_infiltration_capacity,121,15,1,NA
bedford_coldwater_subbasin_groundwater_sustainability_agency,120,120,1,Local_GSA
merced_irrigation_district,120,30,1,District
tulare_irrigation_district,120,40,1,District
porterville_irrigation_district,119,20,1,District
precipitation,119,4,1,NA
storage,119,20,1,NA
westlands,119,24,1,NA
cor,118,59,1,NA
leblanc,118,17,1,NA
tracy,118,13,1,City
cnddb,117,11,1,NA
core_team,117,58,1,NA
elsinore,117,39,1,NA
fish_and_wildlife_service,117,6,1,Federal_Gov
general_order,117,15,1,NA
quality_control,117,20,1,NA
ug_l,117,58,1,NA
red_bluff_subbasin,116,29,1,Basin
adjustment_factors,115,23,1,NA
central_california_irrigation_district,115,23,1,State_Gov
dmc,115,23,1,NA
groundwater_sustainability_plan_group_representative,115,19,1,NA
surface_water_quality,115,58,1,NA
eastern_principal_aquifer,114,57,1,Natural_Feature
enterprise_subbasin,114,57,1,Basin
fkc,114,16,1,NA
tule_subbasin_tac,114,57,1,NA
eki,113,13,1,NA
nacimiento_water_project,113,56,1,Water_Project
butte_creek,112,28,1,Natural_Feature
calleguas,112,37,1,NA
moa,112,9,1,NA
san_timoteo_creek,112,112,1,Natural_Feature
sfr,112,11,1,NA
appendix_c,111,4,1,Reference
butte_subbasin,111,22,1,Basin
carlotta,111,111,1,NA
port_hueneme,111,37,1,City
san_gorgonio_pass,111,111,1,NA
ukiah_valley,111,111,1,Geographic_Unit
western_lower_principal_aquifer,111,56,1,Natural_Feature
sonoma_creek,110,28,1,Natural_Feature
yucaipa_subbasin,110,110,1,Basin
arroyo_conejo,109,27,1,NA
bedford,109,36,1,NA
council,109,14,1,Group
data_exchange_center,109,5,1,State_Gov
fountain_springs,109,18,1,NA
putah_creek,109,54,1,Natural_Feature
regional_water_authority,109,36,1,Group
riverside_county,109,12,1,County
tuolumne,109,12,1,County
xylenes,109,109,1,NA
colusa_subbasin,108,27,1,Basin
central_management_area,107,27,1,Geographic_Unit
coordinating_committee,107,54,1,Group
dixon,107,107,1,City
gsi,107,12,1,NA
qc,107,107,1,NA
san_juan,107,54,1,NA
friant_water_authority,106,6,1,Group
oakland,106,35,1,City
owens_valley,106,53,1,Geographic_Unit
pomona,106,106,1,City
san_luis_obispo_county,106,13,1,County
saugus,106,26,1,NA
water_data_library,106,5,1,Technical
brentwood,105,105,1,City
id4,105,105,1,NA
monitoring_network,105,5,1,Technical
san_luis_delta_mendota_water_authority,105,13,1,Group
solano_collaborative,105,105,1,NA
soquel_creek,105,105,1,Natural_Feature
upson,105,26,1,NA
watermaster,105,12,1,NA
yountville,105,105,1,City
antelope_subbasin,104,52,1,Basin
city_council,104,5,1,Group
joint_powers_agreement,104,9,1,Group
central_sacramento_county_groundwater_management_plan,103,103,1,Technical
cosumnes_subbasin,103,21,1,Basin
median_household_income,103,10,1,NA
ojai_basin_groundwater_management_agency_gsa,103,103,1,Local_GSA
scotts_valley,103,34,1,City
sokr,103,103,1,NA
solano_project,103,103,1,Water_Project
bolsa,102,102,1,NA
buttonwillow_management_area,102,102,1,Geographic_Unit
fox_canyon_groundwater_management_agency_gsa_las_posas_valley,102,102,1,Local_GSA
mbgwfm,102,102,1,NA
precipitation_data,102,4,1,Technical
saticoy,102,17,1,City
trenton_weir,102,17,1,Infrastructure
best_management_practices,101,4,1,NA
department_of_public_health,101,4,1,State_Gov
district_board,101,10,1,Group
western_management_area_groundwater_sustainability_agency,101,34,1,Other_GSA
madera_irrigation_district,100,33,1,District
montecito_groundwater_basin_groundwater_sustainability_agency,100,100,1,Local_GSA
porter_slough,100,17,1,Natural_Feature
salinas_valley_operational_model,100,25,1,Technical
spv,100,100,1,NA
subbasins,100,7,1,Basin
tehama_county_flood_control_and_water_conservation_district,100,14,2,Other_GSA
tule_basin_water_quality_coalition,100,50,1,NA
ukiah,100,50,1,City
west_las_posas,100,100,1,NA
woodard_curran,100,7,1,NA
luhdorff_and_scalmanini_consulting_engineers,99,33,1,NA
san_benito_river,99,99,1,Natural_Feature
success_reservoir,99,25,1,Infrastructure
urban_water_management_plan,99,5,1,Technical
muir,98,33,1,NA
sdac,98,8,1,NA
alyson_watson,97,97,1,NA
city_of_oxnard,97,32,1,City
clean_water_act,97,8,1,Legal
department_of_pesticide_regulation,97,6,1,State_Gov
dry_creek,97,10,1,Natural_Feature
purisima_formation,97,19,1,Natural_Feature
thomes_creek,97,24,1,Natural_Feature
western_municipal_water_district_groundwater_sustainability_agency_riverside_arlington,97,97,1,Local_GSA
aptos,96,48,1,City
groundwater_management_agency,96,48,1,Group
monitoring_entities,96,24,1,Technical
