"name","num_appearances","num_gsps","mean_degree"
"advisory_panel",24,1,6
"agricultural_representation",24,5,1
"ahtna",24,1,13
"applied",24,8,1
"attachment_a",24,8,1
"blake_et_al",24,4,1
"central_delta",24,6,1
"dakota",24,3,1
"each_groundwater_sustainability_agency_party",24,6,3
"east_side",24,1,4
"ghb",24,4,2
"great_program",24,1,1
"gspd",24,1,4
"guejito",24,1,5
"hollister_west",24,1,3
"inc",24,11,2
"interconnected_surface_water_sustainable_management_criteria",24,3,5
"kern_county_subbasin_groundwater",24,3,1
"lacsd",24,1,11
"larsen",24,2,4
"metropolitan",24,3,3
"noi",24,9,2
"permit_sonoma",24,3,5
"san_luis",24,6,1
"san_luis_delta",24,5,1
"smcl",24,5,1
"ust",24,6,1
"wra",24,6,2
"wy1922",24,4,1
"aerojet",23,3,3
"agricultural_order",23,7,1
"arvin_edison",23,1,2
"boyle",23,3,2
"casitas",23,2,4
"chris_lee",23,1,7
"coastal_branch",23,3,3
"drinking_water_source_assessment_and_protection_program",23,7,2
"esri_china",23,6,2
"esri_japan",23,6,2
"glenn_counties",23,3,3
"kadaster_nl",23,3,2
"kern_river_groundwater_sustainability_agency_plan_managers",23,1,6
"kit_novick",23,1,2
"luhdorff_scalmanini_consulting_engineers",23,9,2
"martin",23,5,2
"moorpark_anticline",23,1,3
"reclamation",23,3,3
"singleton",23,1,5
"southern_ma",23,1,4
"standards_and_guiding_principles",23,3,2
"syemahm",23,1,5
"tier_1",23,2,1
"tule",23,4,2
"wmw",23,2,2
"zamora",23,1,4
"administration_office",22,1,1
"basin_optimization_scenarios",22,1,2
"del_valle_groundwater_dependent_ecosystem_unit",22,2,4
"et0",22,4,2
"farm_bureau",22,3,2
"fivepoint",22,1,3
"fresno_county_environmental_health_division",22,3,1
"gilroy_hollister",22,1,3
"graymer",22,1,5
"groundwater_conditions",22,9,1
"groundwater_sustainability_plan_implementation",22,5,1
"groundwater_vistas",22,7,2
"holocene",22,6,1
"lsid",22,1,8
"mrdl",22,2,1
"national_recommended_water_quality_criteria",22,2,5
"ndvi",22,4,2
"north_yolo",22,2,2
"public_health_goal",22,2,1
"santa_rita_upland",22,1,2
"south_yuba",22,2,4
"stanford_university",22,2,4
"tejon_ranch_commerce_center",22,1,5
"thermalito_afterbay",22,2,2
"tm",22,4,2
"warm_springs_ma",22,1,4
"will_halligan",22,1,5
"yates",22,4,2
"aaron",21,1,1
"applied_to",21,6,1
"banning_storage_unit",21,1,3
"berenbrock",21,3,3
"beta2",21,2,2
"bright_et_al",21,2,7
"cbwm",21,1,1
"communication_and_public_engagement",21,5,1
"cosana",21,1,3
"curran",21,7,2
"david_cook",21,3,4
"department_of_toxic_substance_control",21,3,3
"developed_for_implementation",21,7,1
"environmental_health_division",21,5,1
"grant_administration",21,3,3
"grapevine_canyon",21,1,1
"hyperion",21,1,7
"laboratory",21,2,4
"lak",21,4,2
"napa_sonoma",21,1,2
"no_climate_change",21,1,2
"o_laboratory",21,7,1
"opv",21,2,8
"pauma",21,1,5
"pixid",21,1,7
"public_trust_doctrine",21,4,1
"purisima_f",21,1,2
"quality_assurance_qc",21,3,4
"r_field",21,7,2
"rhna",21,3,1
"santa_ysabel",21,1,6
"shay_pond",21,1,1
"situation_assessment",21,1,1
"solano_agricultural_scenario_planning_system",21,1,3
"state_water_resources_control_board_division_of_drinking_water",21,13,1
"sub",21,3,3
"sustainable_groundwater_management_grant_program",21,5,1
"sw",21,4,2
"tier_2_dischargers",21,7,1
"turner_1975",21,3,2
"vern_freeman_diversion",21,1,5
"woodard",21,7,2
"apn",20,4,2
"aquitard",20,1,4
"aquitards",20,9,1
"bartow",20,8,2
"beale_air_force_base",20,2,2
"beltz",20,1,6
"butte_county_department_of_water_and_resource_conservation",20,3,2
"centers_for_disease_control",20,3,2
"central_valley_project_supply",20,5,1
"chris",20,2,6
"doi",20,4,1
"el_porvenir",20,1,4
"federal_standards",20,4,1
"hantush",20,1,1
"hughes",20,2,2
"initial_calibration_verification",20,1,2
"interim_milestones",20,6,1
"joseph",20,5,1
"kern_water_bank",20,3,2
"kkkk",20,4,1
"lake_deposits",20,2,1
"memorandum_of_understanding",20,7,3
"merced_national_wildlife_refuge",20,1,8
"moorpark_wastewater_treatment_plant",20,2,2
"mwdsc",20,2,1
"national_oceanic_and_atmospheric_administration_fisheries",20,3,3
"onewater",20,2,2
"pfoa",20,4,2
"provost_pritchard",20,8,1
"purisima_bc",20,1,2
"ranch",20,2,2
"sdac_communities",20,9,2
"stormwater",20,2,1
"tnc",20,3,1
"units",20,3,3
"wcr",20,3,2
"western_heights_water_company",20,1,6
"a_groundwater_sustainability_agency_party",19,6,7
"aliso",19,2,2
"beller_et_al",19,2,4
"c2vsimfg_beta2",19,1,5
"cardwell",19,1,3
"community_of_buttonwillow",19,1,5
"crafton",19,1,1
"eastern",19,11,1
"groundwater_dependent_ecosystem_evaluation_units",19,2,2
"groundwater_management_activities",19,1,3
"hemet_north",19,1,5
"horizontal_flow_barrier",19,4,2
"kjn_nitrite",19,1,2
"landowner",19,1,3
"larry_walker_associates_team",19,4,2
"marb",19,1,2
"pioneer_water_company",19,1,2
"raftelis",19,1,4
"rd_2068",19,1,8
"san_jerardo",19,1,1
"slade",19,2,2
"soil_agricultural_groundwater_banking",19,13,2
"ss",19,6,1
"sustainable_groundwater_management_act_portal",19,14,1
"underground_source_of_drinking_water",19,1,2
"urban",19,9,1
"uwwtp",19,1,3
"varian_ranch_mutual_water_company",19,1,6
"west_hills",19,1,6
"woodring",19,2,4
"wri",19,1,2
"0_180_flow_direction",18,6,1
"andy_rich",18,3,2
"aqueduct",18,4,2
"carbon_tetrachloride",18,1,5
"central_valley_project_contractors",18,6,1
"dale",18,2,2
"dispute",18,2,1
"environmental_health_services",18,3,2
"farm_process",18,3,1
"federal_reserve_water_rights",18,3,2
"greater_kaweah",18,2,2
"groundwater_management_fee",18,1,4
"groundwater_quality",18,9,1
"groundwater_storage",18,8,2
"groundwater_sustainability_agency_alternate_representative",18,7,2
