name,org_type,core,gsp_id
subbasin,GPE,1,0094
groundwater_sustainability_plan,Loc_Gov,1,0094
department_of_water_resources,CA_Gov,1,0094
groundwater_sustainability_plan,Loc_Gov,1,0095
department_of_water_resources,CA_Gov,1,0095
sustainable_groundwater_management_act,CA_Gov,1,0095
big_valley_groundwater_basin,NA,1,0095
ysga,NA,1,0096
subbasin,GPE,1,0096
groundwater_sustainability_plan,Loc_Gov,1,0096
yolo_subbasin_groundwater_sustainability_agency,GSA,1,0096
department_of_water_resources,CA_Gov,1,0096
affiliated_party,NA,1,0096
subbasin,GPE,1,0097
groundwater_sustainability_plan,Loc_Gov,1,0097
department_of_water_resources,CA_Gov,1,0097
groundwater_sustainability_agency,Loc_Gov,1,0097
sustainable_groundwater_management_act,CA_Gov,1,0097
california,GPE,1,0097
tulelake_irrigation_district,NA,1,0097
groundwater_sustainability_plan,Loc_Gov,1,0098
butte_subbasin,NA,1,0098
department_of_water_resources,CA_Gov,1,0098
groundwater_sustainability_plan,Loc_Gov,1,0099
department_of_water_resources,CA_Gov,1,0099
wyandotte_creek_groundwater_sustainability_agency,GSA,1,0099
wyandotte_creek_subbasin,NA,1,0099
sustainable_management_criteria,NA,1,0099
implementation_of_potential_projects,NA,1,0099
groundwater_sustainability_plan,Loc_Gov,1,0100
subbasin,GPE,1,0100
sacramento,GPE,1,0100
sustainable_groundwater_management_act,CA_Gov,1,0100
department_of_water_resources,CA_Gov,1,0100
groundwater_sustainability_agency,Loc_Gov,1,0100
subbasin,GPE,1,0101
groundwater_sustainability_plan,Loc_Gov,1,0101
sonoma_valley_groundwater_sustainability_agency,GSA,1,0101
groundwater_sustainability_plan,Loc_Gov,1,0103
owens_valley_groundwater_authority,GSA,1,0103
subbasin,GPE,1,0104
yucaipa_valley_water_district,NA,1,0104
state_water_project,Project,1,0104
groundwater_sustainability_plan,Loc_Gov,1,0105
cvp,NL_Gov,1,0105
department_of_water_resources,CA_Gov,1,0105
sustainable_groundwater_management_act,CA_Gov,1,0105
hollister,NA,1,0105
san_benito_county,GPE,1,0105
groundwater_sustainability_agency,Loc_Gov,1,0105
san_juan,GPE,1,0105
bolsa,NA,1,0105
santa_clara_county,GPE,1,0105
santa_clara_valley_water_district,NA,1,0105
city_of_hollister,GPE,1,0105
san_benito_county_water_district,NA,1,0105
north_san_benito_basin,GPE,1,0105
san_benito_county_water_district_groundwater_sustainability_agency,GSA,1,0105
groundwater_sustainability_plan,Loc_Gov,1,0106
sustainable_groundwater_management_act,CA_Gov,1,0106
groundwater_sustainability_agency,Loc_Gov,1,0106
working_group,NA,1,0106
groundwater_sustainability_plan,Loc_Gov,1,0110
subbasin,GPE,1,0110
groundwater_sustainability_agency,Loc_Gov,1,0110
department_of_water_resources,CA_Gov,1,0110
east_turlock_subbasin_groundwater_sustainability_agency,GSA,1,0110
west_turlock_subbasin_groundwater_sustainability_agency,GSA,1,0110
turlock_subbasin,NA,1,0110
groundwater_sustainability_plan,Loc_Gov,1,0111
isw,NA,1,0111
sacramento,GPE,1,0111
department_of_water_resources,CA_Gov,1,0111
groundwater_sustainability_agency,Loc_Gov,1,0111
sustainable_groundwater_management_act,CA_Gov,1,0111
sacramento_county,GPE,1,0111
subbasin,GPE,1,0111
california,GPE,1,0111
gspwg,NA,1,0111
sacramento_central_groundwater_authority,GSA,1,0111
working_group,NA,1,0111
northern_delta_groundwater_sustainability_agency,NA,1,0111
groundwater_sustainability_plan,Loc_Gov,1,0112
groundwater_sustainability_agency,Loc_Gov,1,0112
groundwater_sustainability_plan,Loc_Gov,1,0113
svbgsa,GSA,1,0113
groundwater_sustainability_plan,Loc_Gov,1,0114
svbgsa,NA,1,0114
groundwater_sustainability_plan,Loc_Gov,1,0115
svbgsa,NA,1,0115
groundwater_sustainability_plan,Loc_Gov,1,0116
svbgsa,NA,1,0116
subbasin,GPE,1,0117
groundwater_sustainability_plan,Loc_Gov,1,0117
department_of_water_resources,CA_Gov,1,0117
solano_subbasin,NA,1,0117
sustainable_groundwater_management_act,CA_Gov,1,0117
solano_collaborative,NA,1,0117
groundwater_sustainability_plan,Loc_Gov,1,0118
department_of_water_resources,CA_Gov,1,0118
sustainable_groundwater_management_act,CA_Gov,1,0118
groundwater_sustainability_commission,NA,1,0118
modflow,NA,1,0118
san_luis_obispo_creek,GPE,1,0118
moa,NA,1,0118
cnddb,NA,1,0118
subbasin,GPE,1,0119
groundwater_sustainability_plan,Loc_Gov,1,0119
elsinore_valley_groundwater_sustainability_agency,GSA,1,0119
groundwater_sustainability_plan,Loc_Gov,1,0120
subbasin,GPE,1,0120
groundwater_sustainability_agency,Loc_Gov,1,0120
groundwater_sustainability_plan,Loc_Gov,1,0121
san_gorgonio_pass,NA,1,0121
subbasin,GPE,1,0121
groundwater_sustainability_agency,Loc_Gov,1,0121
morongo_band_of_mission_indians,Nat_Am,1,0121
geological_survey,NL_Gov,1,0121
department_of_water_resources,CA_Gov,1,0121
san_gorgonio_pass_water_agency,NA,1,0121
subbasin,GPE,1,0122
groundwater_sustainability_plan,Loc_Gov,1,0122
groundwater_sustainability_agency,Loc_Gov,1,0122
tracy_subbasin,PERSON,1,0122
sustainable_groundwater_management_act,CA_Gov,1,0122
department_of_water_resources,CA_Gov,1,0122
tracy,PERSON,1,0122
groundwater_sustainability_plan,Loc_Gov,1,0123
white_wolf_groundwater_sustainability_agency,GSA,1,0123
subbasin,GPE,1,0124
groundwater_sustainability_plan,Loc_Gov,1,0124
department_of_water_resources,CA_Gov,1,0124
napa_county,GPE,1,0124
county,GPE,1,0124
napa_county_groundwater_sustainability_agency,NA,1,0124
county_of_napa_groundwater_sustainability_agency,GSA,1,0124
sustainable_groundwater_management_act,CA_Gov,1,0124
california,GPE,1,0124
napa_valley_subbasin,NA,1,0124
groundwater_sustainability_plan,Loc_Gov,1,0125
department_of_water_resources,CA_Gov,1,0125
sierra_valley_groundwater_management_district,GSA,1,0125
groundwater_sustainability_agency,Loc_Gov,1,0125
groundwater_sustainability_plan,Loc_Gov,1,0127
big_valley_groundwater_sustainability_agency,GSA,1,0127
groundwater_sustainability_plan,Loc_Gov,1,0128
subbasin,GPE,1,0128
groundwater_sustainability_agency,Loc_Gov,1,0128
marina_coast_water_district,NA,1,0128
fort_ord,GPE,1,0128
mcwra,Spec_Dist,1,0128
salinas_valley_basin_groundwater_sustainability_agency,NA,1,0128
department_of_water_resources,CA_Gov,1,0128
sustainable_groundwater_management_act,CA_Gov,1,0128
california,GPE,1,0128
monterey_subbasin,GPE,1,0128
basemap,PERSON,1,0128
subbasin,GPE,1,0129
groundwater_sustainability_plan,Loc_Gov,1,0129
city_of_santa_monica,GPE,1,0129
santa_monica_basin_groundwater_sustainability_agency,GSA,1,0129
ojai_valley_groundwater_basin,NA,1,0130
groundwater_sustainability_plan,Loc_Gov,1,0130
department_of_water_resources,CA_Gov,1,0130
sustainable_groundwater_management_act,CA_Gov,1,0130
groundwater_sustainability_plan,Loc_Gov,1,0131
santa_clarita_valley_groundwater_sustainability_agency,GSA,1,0131
scv_water,Spec_Dist,1,0131
groundwater_sustainability_plan,Loc_Gov,1,0132
petaluma_valley_groundwater_sustainability_agency,GSA,1,0132
sustainable_groundwater_management_act,CA_Gov,1,0132
department_of_water_resources,CA_Gov,1,0132
groundwater_sustainability_plan,Loc_Gov,1,0133
atascadero_basin_groundwater_sustainability_agency,GSA,1,0133
department_of_water_resources,CA_Gov,1,0133
atascadero,GPE,1,0133
sustainable_groundwater_management_act,CA_Gov,1,0133
executive_committee,NA,1,0133
groundwater_sustainability_plan,Loc_Gov,1,0134
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_antelope,GSA,1,0134
subbasin,GPE,1,0136
groundwater_sustainability_plan,Loc_Gov,1,0136
santa_rosa_plain_groundwater_sustainability_agency,GSA,1,0136
groundwater_sustainability_plan,Loc_Gov,1,0137
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_bowman,GSA,1,0137
groundwater_sustainability_plan,Loc_Gov,1,0138
bear_valley_basin_groundwater_sustainability_agency,GSA,1,0138
