GSP_ID,NAME20,GEOID20,Basin_Subb
110,west_modesto,684578,5-022.03
111,west_sacramento,684816,5-021.65
111,folsom,624638,5-021.65
111,rancho_cordova,659444,5-021.65
111,elk_grove,622020,5-021.65
111,sacramento,664000,5-021.65
111,arden-arcade,602553,5-021.65
111,carmichael,611390,5-021.65
111,courtland,616714,5-021.65
111,el_dorado_hills,621880,5-021.65
111,fair_oaks,623294,5-021.65
111,florin,624498,5-021.65
111,franklin,625506,5-021.65
111,freeport,625590,5-021.65
111,fruitridge_pocket,627130,5-021.65
111,gold_river,630345,5-021.65
111,hood,634484,5-021.65
111,la_riviera,640410,5-021.65
111,lemon_hill,641142,5-021.65
111,mather,646226,5-021.65
111,orangevale,654092,5-021.65
111,parkway,655800,5-021.65
111,rancho_murieta,659506,5-021.65
111,rosemont,662910,5-021.65
111,vineyard,682852,5-021.65
111,walnut_grove,683374,5-021.65
111,wilton,685880,5-021.65
112,yuba_city,686972,5-021.62
112,marysville,646170,5-021.62
112,live_oak,641936,5-021.62
112,meridian,646926,5-021.62
112,plumas_lake,657829,5-021.62
112,robbins,662168,5-021.62
112,sutter,677378,5-021.62
113,elkhorn,622034,3-004.09
113,prunedale,658870,3-004.09
114,gonzales,630392,3-004.02
114,salinas,664224,3-004.02
114,chualar,613364,3-004.02
114,prunedale,658870,3-004.02
115,king_city,638520,3-004.05
115,bradley,607974,3-004.05
115,pine_canyon,657070,3-004.05
115,san_ardo,664476,3-004.05
115,san_lucas,668140,3-004.05
116,gonzales,630392,3-004.04
116,greenfield,630994,3-004.04
116,soledad,672520,3-004.04
117,davis,618100,5-021.66
117,winters,686034,5-021.66
117,fairfield,623182,5-021.66
117,vacaville,681554,5-021.66
117,isleton,636882,5-021.66
117,antioch,602252,5-021.66
117,dixon,619402,5-021.66
117,rio_vista,660984,5-021.66
117,allendale,600996,5-021.66
117,elmira,622146,5-021.66
117,hartley,632340,5-021.66
117,university_of_california-davis,681302,5-021.66
117,walnut_grove,683374,5-021.66
118,san_luis_obispo,668154,3-009
118,california_polytechnic_state_university,609835,3-009
118,edna,621565,3-009
118,los_ranchos,644242,3-009
119,lake_elsinore,639486,8-004.01
119,wildomar,685446,8-004.01
119,canyon_lake,610928,8-004.01
119,lakeland_village,639598,8-004.01
119,temescal_valley,678138,8-004.01
119,warm_springs,683460,8-004.01
120,brentwood,608142,5-022.19
120,antioch,602252,5-022.19
120,pittsburg,657456,5-022.19
120,oakley,653070,5-022.19
120,bethel_island,606210,5-022.19
120,byron,609346,5-022.19
120,discovery_bay,619339,5-022.19
120,knightsen,638772,5-022.19
121,banning,603820,7-021.04
121,cabazon,609360,7-021.04
121,cherry_valley,612916,7-021.04
121,whitewater,685208,7-021.04
122,stockton,675000,5-022.15
122,lathrop,640704,5-022.15
122,manteca,645484,5-022.15
122,tracy,680238,5-022.15
122,discovery_bay,619339,5-022.15
122,french_camp,626028,5-022.15
122,mountain_house,649582,5-022.15
123,stallion_springs,673868,5-022.18
124,napa,650258,2-002.01
124,st._helena,664140,2-002.01
124,calistoga,609892,2-002.01
124,yountville,686930,2-002.01
124,deer_park,618324,2-002.01
124,oakville,653196,2-002.01
124,rutherford,663400,2-002.01
125,loyalton,644364,5-012.01
125,beckwourth,604772,5-012.01
125,calpine,610004,5-012.01
125,chilcoot-vinton,613077,5-012.01
125,sattley,670336,5-012.01
125,sierra_brooks,671774,5-012.01
125,sierraville,671848,5-012.01
127,kelseyville,638044,5-015
128,marina,645778,3-004.10
128,seaside,670742,3-004.10
129,santa_monica,670000,4-011.01
129,beverly_hills,606308,4-011.01
129,los_angeles,644000,4-011.01
129,culver_city,617568,4-011.01
129,ladera_heights,639108,4-011.01
129,marina_del_rey,645806,4-011.01
130,ojai,653476,4-002
130,meiners_oaks,646702,4-002
131,santa_clarita,669088,4-004.07
131,castaic,611796,4-004.07
131,hasley_canyon,632385,4-004.07
131,stevenson_ranch,674130,4-004.07
131,val_verde,681967,4-004.07
132,rohnert_park,662546,2-001
132,petaluma,656784,2-001
132,black_point-green_point,606982,2-001
132,penngrove,656476,2-001
133,atascadero,603064,3-004.11
133,el_paso_de_robles_(paso_robles),622300,3-004.11
133,garden_farms,628210,3-004.11
133,santa_margarita,669182,3-004.11
133,templeton,678162,3-004.11
134,red_bluff,659892,5-021.54
136,healdsburg,633056,1-055.01
136,windsor,685922,1-055.01
136,cotati,616560,1-055.01
136,rohnert_park,662546,1-055.01
136,sebastopol,670770,1-055.01
136,santa_rosa,670098,1-055.01
136,fulton,628014,1-055.01
136,larkfield-wikiup,640426,1-055.01
136,sonoma_state_university,672654,1-055.01
137,cottonwood,616630,5-006.01
137,lake_california,639460,5-006.01
138,big_bear_lake,606434,8-009
138,big_bear_city,606406,8-009
139,los_molinos,644140,5-021.56
139,vina,682786,5-021.56
140,red_bluff,659892,5-021.50
140,tehama,678106,5-021.50
140,bend,605276,5-021.50
140,flournoy,624568,5-021.50
140,gerber,629392,5-021.50
