NAME20,GEOID20,Basin_Subb,lat,lng,DAC,MHI,POP,incorporated,per_latino,exists,GSP_ID
san_joaquin,667126,5-022.08,36.6055737940374,-120.189933819128,1,37225,4025,1,97.5,1,31
cuyama,617727,3-013,34.9312495064956,-119.614817181431,1,NA,11,0,63.6,1,32
new_cuyama,651028,3-013,34.9430619614646,-119.682030970533,1,46719,550,0,42.5,1,32
pine_mountain_club,657240,3-013,34.8445812023139,-119.166889817798,1,50859,2011,0,7.1,0,32
el_paso_de_robles_(paso_robles),622300,3-004.06,35.6394546216364,-120.655989511187,0,69297,31480,1,34.1,0,35
creston,617232,3-004.06,35.5172996360286,-120.520921289836,1,NA,31,0,54.8,1,35
san_miguel,668266,3-004.06,35.7534076568843,-120.692405870806,0,63171,2536,0,71.9,1,35
shandon,671134,3-004.06,35.6535956216539,-120.383158052906,0,72860,1054,0,59.6,1,35
whitley_gardens,685222,3-004.06,35.6574377708242,-120.507031209829,1,NA,44,0,0,0,35
bakersfield,603526,5-022.14,35.352937339995,-119.035931369141,0,65687,379879,1,51.1,1,36
delano,618394,5-022.14,35.766162858311,-119.263541614098,1,47042,52821,1,76.9,1,36
mcfarland,644826,5-022.14,35.6781340240423,-119.241402605531,1,36586,13244,1,91.8,0,36
maricopa,645736,5-022.14,35.0515728464132,-119.405809190092,1,40208,2157,1,37.6,1,36
shafter,671106,5-022.14,35.4794232037119,-119.201306584552,1,47433,19743,1,84.2,0,36
wasco,683542,5-022.14,35.5937877969933,-119.367114452987,1,39291,27553,1,84.1,1,36
taft,677574,5-022.14,35.1267000455869,-119.424213810875,1,46980,9189,1,33.1,1,36
bear_valley_springs,604734,5-022.14,35.1739882166833,-118.653173454031,0,73194,5291,0,14,0,36
buttonwillow,609332,5-022.14,35.4092320970557,-119.440680205048,1,42548,1339,0,85.3,1,36
cherokee_strip,612860,5-022.14,35.4695716037112,-119.261537996044,1,32500,289,0,86.2,0,36
choctaw_valley,613278,5-022.14,35.448560007967,-118.887203304134,0,81950,252,0,0,0,36
derby_acres,618926,5-022.14,35.2440305252052,-119.603844453359,1,56250,288,0,18.8,0,36
dustin_acres,620284,5-022.14,35.2159341233489,-119.3749990782,1,46667,568,0,11.1,0,36
fellows,623812,5-022.14,35.1779336739489,-119.54722357165,1,NA,54,0,0,0,36
ford_city,624764,5-022.14,35.1647409655169,-119.458412852024,1,43538,4909,0,60.2,0,36
goodmanville,630412,5-022.14,35.434794568797,-118.939026682972,0,136071,84,0,0,0,36
greenacres,630938,5-022.14,35.383158824659,-119.118396345037,0,77240,5255,0,24.6,0,36
keene,637946,5-022.14,35.2335764277207,-118.609899122882,0,89115,257,0,16,0,36
lost_hills,644280,5-022.14,35.6254098664166,-119.678867789131,1,36458,1742,0,96.8,1,36
mckittrick,644924,5-022.14,35.2980333249921,-119.624933513693,1,38333,130,0,16.2,0,36
mexican_colony,647192,5-022.14,35.4689346708477,-119.268724775551,1,35167,337,0,100,0,36
oildale,653448,5-022.14,35.4292680236863,-119.030588852662,1,40773,35520,0,23.5,0,36
richgrove,660606,5-022.14,35.7966167663092,-119.106915557565,1,19063,2098,0,100,0,36
rivergrove,661108,5-022.14,35.4402994545146,-118.941096823999,1,NA,51,0,0,0,36
rosedale,662854,5-022.14,35.3886148022346,-119.205758204397,0,108477,19003,0,22.1,0,36
smith_corner,672338,5-022.14,35.4788359495973,-119.277135136693,0,66174,413,0,89.8,0,36
south_taft,673388,5-022.14,35.12931336037,-119.457512720316,1,28452,2120,0,58.9,0,36
stebbins,674021,5-022.14,35.4056547113457,-119.314190655752,0,76667,963,0,49.1,0,36
taft_heights,677588,5-022.14,35.1337550609309,-119.471152570134,1,45046,1509,0,22,0,36
tarina,677934,5-022.14,35.3807050284952,-118.817100251721,1,NA,0,0,NA,0,36
tupman,680784,5-022.14,35.2987474915495,-119.357686351296,1,NA,134,0,11.9,1,36
valley_acres,681722,5-022.14,35.2086730693448,-119.410663102795,0,70046,641,0,38.4,0,36
dustin_acres,620284,5-022.14,35.2159341233489,-119.3749990782,1,46667,568,0,11.1,0,37
gustine,631568,5-022.07,37.2545183767433,-120.994882253259,1,49984,5748,1,61.3,1,38
los_banos,644028,5-022.07,37.063005896667804,-120.840672237304,0,64567,39443,1,71.4,1,38
volta,683108,5-022.07,37.0875071539076,-120.923472812694,1,41174,133,0,59.4,1,38
corcoran,616224,5-022.12,36.08406793429,-119.561285963915,1,42997,22078,1,69.3,1,42
lemoore,641152,5-022.12,36.2949277921543,-119.798343362941,0,68658,25867,1,44,1,42
hanford,631960,5-022.12,36.3274295239525,-119.654899556497,0,65974,57339,1,49.4,1,42
armona,602700,5-022.12,36.3166122809255,-119.70539254574,1,49158,4437,0,82.1,0,42
grangeville,630686,5-022.12,36.3439028389717,-119.70747961178,0,79688,324,0,14.8,0,42
hardwick,632156,5-022.12,36.4026009881764,-119.720783018107,1,NA,155,0,58.1,1,42
home_garden,634281,5-022.12,36.302836943862,-119.6370856143,1,35197,1590,0,83.5,0,42
kettleman_city,638394,5-022.12,36.0089901549547,-119.962864411786,1,54444,1245,0,100,1,42
laton,640746,5-022.12,36.4314148940926,-119.697608043494,1,48598,1967,0,77.5,0,42
lemoore_station,641166,5-022.12,36.263281367472,-119.904849018416,1,57593,6756,0,18.6,0,42
stratford,675252,5-022.12,36.1884695001239,-119.82225906525,0,67865,771,0,61.7,1,42
porterville,658240,5-022.13,36.0644308458324,-119.033732241823,1,44095,59056,1,68.6,1,43
ducor,620032,5-022.13,35.8927060554027,-119.047022034444,1,27404,708,0,92.9,1,43
east_porterville,621012,5-022.13,36.0581592357811,-118.974905179345,1,26927,5399,0,79.9,1,43
poplar-cotton_center,658191,5-022.13,36.0577217195533,-119.150193304778,1,31533,1840,0,76.7,0,43
richgrove,660606,5-022.13,35.7966167663092,-119.106915557565,1,19063,2098,0,100,0,43
terra_bella,678288,5-022.13,35.9600163140697,-119.038540529921,1,20906,2389,0,94,1,43
bakersfield,603526,5-022.14,35.352937339995,-119.035931369141,0,65687,379879,1,51.1,1,44
choctaw_valley,613278,5-022.14,35.448560007967,-118.887203304134,0,81950,252,0,0,0,44
fresno,627000,5-022.06,36.7830265926428,-119.793854519767,1,53368,526147,1,49.7,1,45
rolling_hills,662625,5-022.06,36.9039673635854,-119.796636657781,0,79138,706,0,18.8,1,45
escalon,622790,5-022.01,37.7912710694715,-120.998181275488,0,64844,7553,1,16.8,1,47
ripon,661026,5-022.01,37.7417028420999,-121.131009761479,0,89110,16049,1,26.9,1,47
stockton,675000,5-022.01,37.9765193666096,-121.310931427352,1,58393,311103,1,43.5,1,47
galt,628112,5-022.01,38.2697804764248,-121.300436065716,0,73969,26235,1,44.3,1,47
oakdale,652694,5-022.01,37.761758522971,-120.846854850331,0,67459,22932,1,33,1,47
riverbank,661068,5-022.01,37.7259773532885,-120.943365563708,0,70163,24623,1,58.3,1,47
lathrop,640704,5-022.01,37.809006737559,-121.313138673064,0,90179,23863,1,40.1,1,47
lodi,642202,5-022.01,38.1218205595834,-121.293194436182,0,64153,66562,1,37.8,1,47
manteca,645484,5-022.01,37.7927484820427,-121.226377039475,0,76846,81078,1,40.4,1,47
acampo,600156,5-022.01,38.173533754046,-121.279904537292,1,NA,261,0,4.2,0,47
august,603209,5-022.01,37.9796490684839,-121.262523718613,1,34781,8046,0,76.9,0,47
collierville,614708,5-022.01,38.214155049569,-121.267467960317,0,71350,2354,0,33.6,0,47
country_club,616651,5-022.01,37.9687068267638,-121.340835689625,1,57391,9242,0,52.7,0,47
del_rio,618695,5-022.01,37.7431492462959,-121.008487662477,0,113125,1241,0,20.9,0,47
dogtown,619440,5-022.01,38.2095906785563,-121.155073069301,0,99764,3006,0,42.7,0,47
east_oakdale,620907,5-022.01,37.785511192822,-120.800923906076,0,123523,2370,0,0.7,0,47
farmington,623630,5-022.01,37.9298712657126,-121.004381165695,1,NA,169,0,13.6,1,47
french_camp,626028,5-022.01,37.8802693994692,-121.280322814553,1,53966,3641,0,62.3,0,47
garden_acres,628182,5-022.01,37.963702494416,-121.229623615967,1,46276,10096,0,81.8,0,47
kennedy,638065,5-022.01,37.9290467814662,-121.245796690691,1,34355,2877,0,83.6,0,47
knights_ferry,638786,5-022.01,37.8200132882617,-120.670342132425,1,NA,62,0,0,1,47
lincoln_village,641558,5-022.01,38.0054758418194,-121.333855173828,0,75625,3991,0,50.4,1,47
linden,641670,5-022.01,38.0185751095815,-121.099377016823,0,110685,2043,0,27.5,1,47
lockeford,642104,5-022.01,38.1508458088065,-121.15545230646,0,72688,3572,0,29.9,1,47
morada,649180,5-022.01,38.0386352558866,-121.24556181032101,0,250001,3419,0,30.4,1,47
orange_blossom,653987,5-022.01,37.8096216988181,-120.711524361486,0,68750,1155,0,22.4,0,47
peters,656798,5-022.01,37.9763062486835,-121.043945918332,0,111548,472,0,39.6,0,47
rancho_calaveras,659426,5-022.01,38.1248571135961,-120.856983725387,0,64107,6310,0,16,0,47
taft_mosswood,677595,5-022.01,37.9140202488336,-121.283127195324,1,57386,1060,0,64.1,0,47
terminous,678232,5-022.01,38.1152616043152,-121.489571304614,1,51648,400,0,18.5,1,47
thornton,678568,5-022.01,38.230911262524,-121.424896899325,1,33611,903,0,49.4,1,47
valley_home,681792,5-022.01,37.8272456418125,-120.914355956169,1,NA,209,0,28.7,0,47
valley_springs,681890,5-022.01,38.1694449700999,-120.826004720072,0,81528,3890,0,23.3,1,47
victor,682562,5-022.01,38.1384704184717,-121.198773525707,1,NA,420,0,42.6,0,47
wallace,683304,5-022.01,38.2039682304699,-120.960928569902,0,101745,721,0,5.1,0,47
waterloo,683626,5-022.01,38.036457950856,-121.184564130383,1,NA,902,0,33.1,0,47
woodbridge,686230,5-022.01,38.1691996534503,-121.311325302926,0,95859,3806,0,18.2,1,47
alpaugh,601164,5-022.13,35.8890422482937,-119.485821425628,1,26000,869,0,97.5,1,48
visalia,682954,5-022.11,36.3276585926983,-119.326915026607,0,66668,133100,1,51.9,1,50
tulare,680644,5-022.11,36.1996076732517,-119.339992872794,1,56024,64546,1,63.6,1,50
goshen,630476,5-022.11,36.3492709988225,-119.420634144662,1,59750,5387,0,75.7,1,50
matheny,646223,5-022.11,36.1706507123777,-119.351620778343,1,42039,1036,0,85.3,0,50
patterson_tract,656120,5-022.11,36.3795264297955,-119.295616649913,1,51250,2003,0,83.7,0,50
waukena,683724,5-022.11,36.1391088209041,-119.510985852348,0,66250,51,0,49,1,50
buttonwillow,609332,5-022.14,35.4092320970557,-119.440680205048,1,42548,1339,0,85.3,1,51
marysville,646170,5-021.61,39.1517838023258,-121.583504569351,1,47128,12467,1,31.1,1,52
wheatland,685012,5-021.61,39.0287513224947,-121.390020966006,0,67056,3631,1,17.5,1,52
beale_afb,604576,5-021.61,39.1095714932153,-121.35427255253,1,52155,955,0,24.6,0,52
linda,641572,5-021.61,39.1241453804632,-121.542182745057,1,48529,21842,0,37.3,1,52
olivehurst,653714,5-021.61,39.079468363905,-121.556673589692,1,54309,15149,0,35.4,1,52
plumas_lake,657829,5-021.61,38.9844588460191,-121.563428198971,0,103832,7687,0,27.3,0,52
rio_oso,660970,5-021.61,38.9518272497718,-121.530984031349,0,130417,414,0,1.9,0,52
yuba_city,686972,5-021.60,39.135718773915,-121.638353165297,1,60910,66660,1,29.8,1,53
marysville,646170,5-021.60,39.1517838023258,-121.583504569351,1,47128,12467,1,31.1,1,53
