GSA_ID,GSA_Name
506,westside_district_water_authority_groundwater_sustainability_agency
39,west_kern_water_district_groundwater_sustainability_agency
505,county_of_mono_groundwater_sustainability_agency_owens_valley
512,county_of_mono_groundwater_sustainability_agency_fish_slough
508,north_kern_water_storage_district_groundwater_sustainability_agency
205,eastern_tule_groundwater_sustainability_agency
111,cordua_irrigation_district_groundwater_sustainability_agency
112,richvale_irrigation_district_groundwater_sustainability_agency
117,biggs_west_gridley_water_district_groundwater_sustainability_agency
120,western_canal_water_district_groundwater_sustainability_agency
128,city_of_gridley_groundwater_sustainability_agency
133,city_of_marysville_groundwater_sustainability_agency
170,mission_springs_water_district_groundwater_sustainability_agency_indio
172,desert_water_agency_groundwater_sustainability_agency_non_statutory_area_indio
173,city_of_biggs_groundwater_sustainability_agency
197,heritage_ranch_community_services_district
399,city_of_marina_groundwater_sustainability_agency
413,yuba_water_agency_groundwater_sustainability_agency_north_yuba
417,butte_water_district_groundwater_sustainability_agency_butte
452,mission_springs_water_district_groundwater_sustainability_agency_mission_creek
453,desert_water_agency_groundwater_sustainability_agency_non_statutory_area_mission_creek
523,kern_water_bank_groundwater_sustainability_agency
