,num_triples,num_entities,num_relations,relation_entropy,most_common_relation_ratio,avg_degree,num_components,clustering_coeff
85,38.0,31.0,20.0,3.9778048159043644,0.15789473684210525,2.0,6.0,0.060215053763440864
86,3.0,5.0,3.0,1.584962500721156,0.3333333333333333,1.2,2.0,0.0
87,20.0,19.0,15.0,3.7219280948873625,0.2,1.6842105263157894,5.0,0.0
88,12.0,16.0,9.0,3.084962500721156,0.16666666666666666,1.5,6.0,0.0
89,4.0,5.0,3.0,1.5,0.5,1.6,1.0,0.0
90,6.0,7.0,6.0,2.584962500721156,0.16666666666666666,1.7142857142857142,2.0,0.0
92,24.0,20.0,11.0,3.0009619827626763,0.2916666666666667,2.0,6.0,0.0
93,37.0,33.0,23.0,4.303783770917412,0.10810810810810811,1.9393939393939394,6.0,0.0
94,24.0,29.0,17.0,3.970175521464345,0.125,1.5172413793103448,8.0,0.0
95,10.0,16.0,6.0,2.5219280948873624,0.2,1.25,6.0,0.0
96,42.0,44.0,22.0,4.243158791671846,0.09523809523809523,1.7727272727272727,8.0,0.04560308972073678
97,14.0,18.0,11.0,3.2359263506290326,0.2857142857142857,1.4444444444444444,6.0,0.0
98,5.0,7.0,3.0,1.3709505944546687,0.6,1.4285714285714286,2.0,0.0
99,10.0,12.0,7.0,2.6464393446710157,0.3,1.5,4.0,0.0
100,16.0,16.0,12.0,3.452819531114783,0.1875,1.875,3.0,0.0
101,10.0,11.0,9.0,3.1219280948873624,0.2,1.6363636363636365,2.0,0.0
103,19.0,20.0,13.0,3.5110854081804272,0.21052631578947367,1.6,5.0,0.0
104,6.0,8.0,4.0,1.792481250360578,0.5,1.5,2.0,0.0
105,55.0,47.0,29.0,4.7171901678341,0.07272727272727272,2.0,8.0,0.04278700023380874
106,23.0,23.0,14.0,3.588354347173233,0.17391304347826086,1.826086956521739,5.0,0.0
110,69.0,52.0,25.0,4.1083321601354905,0.14492753623188406,2.1153846153846154,9.0,0.08081501831501832
111,37.0,41.0,22.0,4.226628285180294,0.13513513513513514,1.7560975609756098,8.0,0.016802168021680216
112,6.0,10.0,6.0,2.584962500721156,0.16666666666666666,1.2,4.0,0.0
113,23.0,20.0,12.0,3.201545784032374,0.30434782608695654,1.7,4.0,0.0
114,33.0,27.0,13.0,3.3270900447203595,0.21212121212121213,1.7037037037037037,6.0,0.0
115,34.0,29.0,22.0,4.157767533178668,0.14705882352941177,2.0689655172413794,5.0,0.06948798328108673
116,59.0,51.0,35.0,4.879909838196924,0.11864406779661017,1.9607843137254901,8.0,0.037313945185917505
117,16.0,17.0,13.0,3.625,0.125,1.7647058823529411,3.0,0.0
118,32.0,39.0,18.0,3.9375,0.125,1.5897435897435896,13.0,0.05982905982905983
119,37.0,33.0,13.0,2.857839017231802,0.40540540540540543,1.878787878787879,9.0,0.1351698806244261
120,2.0,4.0,2.0,1.0,0.5,1.0,2.0,0.0
121,36.0,26.0,18.0,3.7278098080841557,0.19444444444444445,2.076923076923077,4.0,0.0
123,22.0,28.0,12.0,3.2655833228877333,0.2727272727272727,1.5714285714285714,8.0,0.07738095238095237
124,118.0,89.0,19.0,3.079585919224708,0.3305084745762712,2.3820224719101124,12.0,0.08754990328024036
125,7.0,9.0,5.0,2.128085278891394,0.42857142857142855,1.5555555555555556,3.0,0.0
127,14.0,10.0,11.0,3.3787834934861753,0.14285714285714285,1.8,3.0,0.0
128,46.0,25.0,20.0,3.758927971627143,0.2391304347826087,2.48,3.0,0.13923809523809524
129,97.0,75.0,30.0,4.338559968078886,0.12371134020618557,2.24,10.0,0.04150762527233116
130,29.0,24.0,19.0,4.017824858003424,0.1724137931034483,1.75,5.0,0.05648148148148149
131,5.0,7.0,4.0,1.9219280948873623,0.4,1.4285714285714286,2.0,0.0
132,46.0,44.0,22.0,4.118579554250694,0.13043478260869565,1.8636363636363635,6.0,0.0
133,3.0,5.0,3.0,1.584962500721156,0.3333333333333333,1.2,3.0,0.0
134,4.0,6.0,3.0,1.5,0.5,1.3333333333333333,2.0,0.0
136,21.0,20.0,13.0,3.499227541723357,0.19047619047619047,1.9,2.0,0.0
137,10.0,11.0,6.0,2.4464393446710155,0.3,1.4545454545454546,3.0,0.0
138,3.0,4.0,3.0,1.584962500721156,0.3333333333333333,1.5,2.0,0.0
139,3.0,5.0,2.0,0.9182958340544896,0.6666666666666666,1.2,2.0,0.0
140,7.0,7.0,3.0,1.3787834934861753,0.5714285714285714,1.7142857142857142,2.0,0.0
144,4.0,6.0,3.0,1.5,0.5,1.3333333333333333,2.0,0.0
145,2.0,4.0,2.0,1.0,0.5,1.0,2.0,0.0
149,4.0,5.0,4.0,2.0,0.25,1.6,1.0,0.0
150,77.0,41.0,36.0,4.8247662492707795,0.1038961038961039,2.731707317073171,3.0,0.08976145805414097
155,5.0,4.0,1.0,-0.0,1.0,2.0,1.0,0.0
